Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2022,40,0-4 yr,0,0,22,4,1,1,0,2,0
2022,41,0-4 yr,0,0,35,12,2,1,0,0,0
2022,42,0-4 yr,0,0,34,9,1,4,0,2,1
2022,43,0-4 yr,0,0,61,18,3,2,0,0,0
2022,44,0-4 yr,0,0,78,30,15,1,0,2,0
2022,45,0-4 yr,0,0,94,26,17,1,0,0,0
2022,46,0-4 yr,0,0,138,37,37,0,0,1,0
2022,47,0-4 yr,0,0,180,28,26,0,0,0,0
2022,48,0-4 yr,0,0,181,46,71,0,0,0,0
2022,49,0-4 yr,0,0,118,38,54,1,0,0,0
2022,50,0-4 yr,0,0,81,27,73,2,0,1,0
2022,51,0-4 yr,0,0,21,3,58,0,0,0,0
2022,40,5-24 yr,0,0,120,17,6,1,0,0,0
2022,41,5-24 yr,0,0,137,27,9,1,0,1,0
2022,42,5-24 yr,0,0,202,53,16,1,0,1,0
2022,43,5-24 yr,0,0,329,98,31,0,0,0,0
2022,44,5-24 yr,0,0,382,142,108,3,0,1,0
2022,45,5-24 yr,0,0,565,128,102,0,0,1,0
2022,46,5-24 yr,0,0,620,159,204,0,0,0,0
2022,47,5-24 yr,0,0,550,102,184,1,0,0,0
2022,48,5-24 yr,0,0,509,125,282,0,0,0,0
2022,49,5-24 yr,0,0,593,126,307,1,0,1,0
2022,50,5-24 yr,0,0,348,87,283,1,0,0,0
2022,51,5-24 yr,0,0,82,26,174,1,0,2,0
2022,40,25-64 yr,0,0,41,11,10,2,0,0,0
2022,41,25-64 yr,0,0,86,19,9,2,0,2,0
2022,42,25-64 yr,0,0,90,30,16,1,0,1,0
2022,43,25-64 yr,0,0,126,78,29,1,0,1,0
2022,44,25-64 yr,0,0,195,94,48,0,0,1,0
2022,45,25-64 yr,0,0,267,103,65,1,0,0,0
2022,46,25-64 yr,0,0,356,162,101,2,0,0,0
2022,47,25-64 yr,0,0,392,168,147,1,0,1,0
2022,48,25-64 yr,0,0,556,256,257,2,0,0,0
2022,49,25-64 yr,0,0,416,175,246,0,0,1,0
2022,50,25-64 yr,0,0,292,152,242,0,0,1,0
2022,51,25-64 yr,0,0,82,25,194,0,0,1,0
2022,40,65+ yr,0,0,14,6,0,0,0,0,0
2022,41,65+ yr,0,0,34,6,1,0,0,0,0
2022,42,65+ yr,0,0,56,10,3,0,0,0,0
2022,43,65+ yr,0,0,61,22,1,0,0,0,0
2022,44,65+ yr,0,0,87,32,11,0,0,0,0
2022,45,65+ yr,0,0,123,37,19,0,0,0,0
2022,46,65+ yr,0,0,179,49,21,0,0,2,0
2022,47,65+ yr,0,0,295,80,24,0,0,0,0
2022,48,65+ yr,0,0,448,134,59,0,0,0,0
2022,49,65+ yr,0,0,352,101,72,1,0,0,0
2022,50,65+ yr,0,0,251,68,72,0,0,0,0
2022,51,65+ yr,0,0,55,10,76,0,0,0,0
2021,40,0-4 yr,0,0,2,1,0,0,0,1,0
2021,41,0-4 yr,0,0,1,0,0,0,0,2,0
2021,42,0-4 yr,0,0,1,0,0,0,0,0,0
2021,43,0-4 yr,0,0,2,0,0,0,0,0,0
2021,44,0-4 yr,0,0,4,0,1,0,0,1,0
2021,45,0-4 yr,0,0,10,0,2,0,0,2,0
2021,46,0-4 yr,0,0,13,1,1,0,1,1,0
2021,47,0-4 yr,0,0,32,0,1,0,0,1,0
2021,48,0-4 yr,0,0,60,0,6,1,0,0,0
2021,49,0-4 yr,0,0,63,0,3,0,0,0,0
2021,50,0-4 yr,0,0,88,0,6,0,0,1,0
2021,51,0-4 yr,0,0,94,0,12,0,0,0,0
2021,52,0-4 yr,0,0,87,0,29,0,0,0,0
2022,1,0-4 yr,0,0,78,0,28,0,0,1,0
2022,2,0-4 yr,0,0,73,0,37,0,0,0,0
2022,3,0-4 yr,0,0,70,0,8,0,0,0,0
2022,4,0-4 yr,0,0,55,0,15,0,0,2,0
2022,5,0-4 yr,0,0,45,0,5,0,0,0,0
2022,6,0-4 yr,0,0,65,0,3,0,0,0,0
2022,7,0-4 yr,0,0,47,0,5,1,0,0,0
2022,8,0-4 yr,0,0,34,0,6,0,0,1,0
2022,9,0-4 yr,0,0,43,1,5,1,0,0,0
2022,10,0-4 yr,0,0,42,0,2,1,0,0,0
2022,11,0-4 yr,0,0,29,0,3,0,0,0,0
2022,12,0-4 yr,0,0,48,0,4,0,0,0,0
2022,13,0-4 yr,0,0,57,0,5,0,0,0,0
2022,14,0-4 yr,0,0,42,0,3,0,0,0,0
2022,15,0-4 yr,0,0,60,0,11,0,0,0,0
2022,16,0-4 yr,0,0,82,1,8,0,0,0,0
2022,17,0-4 yr,0,0,66,1,5,0,0,0,0
2022,18,0-4 yr,0,0,68,1,6,0,0,0,0
2022,19,0-4 yr,0,0,77,0,13,0,0,0,0
2022,20,0-4 yr,0,0,75,0,10,0,0,0,0
2022,21,0-4 yr,0,0,82,0,8,0,0,0,0
2022,22,0-4 yr,0,0,82,0,10,0,0,0,0
2022,23,0-4 yr,0,0,50,0,8,0,0,0,0
2022,24,0-4 yr,0,0,56,0,3,0,0,0,0
2022,25,0-4 yr,0,0,32,0,5,0,0,0,0
2022,26,0-4 yr,0,0,13,0,2,0,0,0,0
2022,27,0-4 yr,0,0,15,0,2,0,0,0,0
2022,28,0-4 yr,0,0,17,0,2,0,0,0,0
2022,29,0-4 yr,0,0,6,0,0,0,0,0,0
2022,30,0-4 yr,0,0,3,0,0,0,0,0,0
2022,31,0-4 yr,0,0,2,0,0,0,0,0,1
2022,32,0-4 yr,0,0,11,0,1,0,0,0,0
2022,33,0-4 yr,0,0,7,1,1,0,0,0,0
2022,34,0-4 yr,0,0,12,1,0,0,0,0,0
2022,35,0-4 yr,0,0,10,0,1,0,0,0,0
2022,36,0-4 yr,0,0,18,1,0,0,0,0,0
2022,37,0-4 yr,0,0,11,2,0,0,0,0,0
2022,38,0-4 yr,0,0,11,0,1,1,0,1,0
2022,39,0-4 yr,0,0,23,0,2,0,0,1,0
2021,40,5-24 yr,0,0,84,0,2,3,0,2,0
2021,41,5-24 yr,0,0,87,0,1,1,0,4,1
2021,42,5-24 yr,0,0,44,0,0,2,0,2,0
2021,43,5-24 yr,0,0,40,0,2,2,0,1,0
2021,44,5-24 yr,0,0,162,0,4,2,0,0,0
2021,45,5-24 yr,0,0,151,0,22,1,0,1,0
2021,46,5-24 yr,0,0,333,1,47,2,0,3,0
2021,47,5-24 yr,0,0,344,0,32,1,0,2,0
2021,48,5-24 yr,0,0,465,1,79,1,0,0,0
2021,49,5-24 yr,0,0,581,0,160,2,0,1,0
2021,50,5-24 yr,0,0,608,0,182,0,0,3,0
2021,51,5-24 yr,0,0,454,0,126,0,0,1,0
2021,52,5-24 yr,0,0,350,0,182,0,0,2,0
2022,1,5-24 yr,0,0,277,0,125,0,0,1,0
2022,2,5-24 yr,0,0,281,0,167,0,0,0,0
2022,3,5-24 yr,0,0,251,0,107,0,0,0,0
2022,4,5-24 yr,0,0,192,0,97,2,0,0,0
2022,5,5-24 yr,0,0,202,0,58,1,0,0,0
2022,6,5-24 yr,0,0,265,0,87,0,0,0,0
2022,7,5-24 yr,0,0,200,0,66,0,0,1,0
2022,8,5-24 yr,0,0,156,0,39,0,0,0,0
2022,9,5-24 yr,0,0,206,0,52,0,0,0,0
2022,10,5-24 yr,0,0,200,0,58,0,0,0,0
2022,11,5-24 yr,0,0,198,1,49,0,0,0,0
2022,12,5-24 yr,0,0,266,0,30,0,0,0,0
2022,13,5-24 yr,0,0,292,0,38,1,0,1,0
2022,14,5-24 yr,0,0,264,0,38,1,0,1,0
2022,15,5-24 yr,0,0,275,0,46,0,0,1,0
2022,16,5-24 yr,0,0,290,2,54,0,0,0,0
2022,17,5-24 yr,0,0,289,0,25,0,0,0,0
2022,18,5-24 yr,0,0,355,1,29,0,0,0,0
2022,19,5-24 yr,0,0,283,1,77,0,0,1,0
2022,20,5-24 yr,0,0,271,1,67,0,0,0,0
2022,21,5-24 yr,0,0,221,1,49,0,0,0,0
2022,22,5-24 yr,0,0,183,1,27,0,0,0,0
2022,23,5-24 yr,0,0,119,0,20,0,0,0,0
2022,24,5-24 yr,0,0,113,0,18,0,0,0,0
2022,25,5-24 yr,0,0,70,0,8,0,0,0,0
2022,26,5-24 yr,0,0,32,1,9,0,0,0,0
2022,27,5-24 yr,0,0,30,0,5,0,0,0,0
2022,28,5-24 yr,0,0,27,0,1,0,0,0,0
2022,29,5-24 yr,0,0,17,1,1,0,0,1,0
2022,30,5-24 yr,0,0,14,0,5,0,0,1,0
2022,31,5-24 yr,0,0,19,2,7,0,0,1,2
2022,32,5-24 yr,0,0,39,1,3,0,0,0,0
2022,33,5-24 yr,0,0,25,3,0,1,0,0,0
2022,34,5-24 yr,0,0,31,6,2,1,0,0,0
2022,35,5-24 yr,0,0,40,2,2,0,0,0,0
2022,36,5-24 yr,0,0,34,4,3,0,0,0,1
2022,37,5-24 yr,0,0,39,2,1,0,0,0,0
2022,38,5-24 yr,0,0,79,14,5,0,0,1,0
2022,39,5-24 yr,0,0,60,12,6,0,0,0,0
2021,40,25-64 yr,0,0,0,0,1,0,0,1,0
2021,41,25-64 yr,0,0,2,0,0,0,0,1,0
2021,42,25-64 yr,0,0,1,0,2,1,0,1,0
2021,43,25-64 yr,0,0,4,0,3,5,0,0,0
2021,44,25-64 yr,0,0,14,0,4,2,0,0,0
2021,45,25-64 yr,0,0,40,0,19,0,0,0,0
2021,46,25-64 yr,0,0,81,0,18,2,0,1,0
2021,47,25-64 yr,0,0,101,1,24,1,0,1,0
2021,48,25-64 yr,0,0,227,0,42,1,0,0,0
2021,49,25-64 yr,0,0,201,0,64,0,0,0,0
2021,50,25-64 yr,0,0,271,0,105,0,0,0,0
2021,51,25-64 yr,0,0,328,0,125,0,0,2,0
2021,52,25-64 yr,0,0,359,0,237,0,0,2,0
2022,1,25-64 yr,0,0,294,0,149,0,0,5,0
2022,2,25-64 yr,0,0,208,0,161,0,0,1,0
2022,3,25-64 yr,0,0,162,0,66,0,0,1,0
2022,4,25-64 yr,0,0,97,0,61,0,0,3,0
2022,5,25-64 yr,0,0,96,0,46,0,0,1,0
2022,6,25-64 yr,0,0,92,0,43,0,0,1,0
2022,7,25-64 yr,0,0,103,1,67,0,0,0,0
2022,8,25-64 yr,0,0,104,0,65,0,0,0,0
2022,9,25-64 yr,0,0,122,0,65,0,0,0,0
2022,10,25-64 yr,0,0,127,0,33,0,0,0,0
2022,11,25-64 yr,0,0,155,2,67,0,0,0,0
2022,12,25-64 yr,0,0,164,0,43,0,0,1,0
2022,13,25-64 yr,0,0,168,0,49,0,0,0,0
2022,14,25-64 yr,0,0,190,0,45,0,0,0,0
2022,15,25-64 yr,0,0,203,0,46,0,0,3,0
2022,16,25-64 yr,0,0,191,0,54,0,0,1,0
2022,17,25-64 yr,0,0,225,1,59,0,0,1,0
2022,18,25-64 yr,0,0,198,0,41,0,0,0,0
2022,19,25-64 yr,0,0,162,0,66,0,0,2,0
2022,20,25-64 yr,0,0,170,1,59,0,0,0,0
2022,21,25-64 yr,0,0,105,0,42,0,0,1,0
2022,22,25-64 yr,0,0,103,0,36,0,0,1,0
2022,23,25-64 yr,0,0,83,0,31,0,0,0,0
2022,24,25-64 yr,0,0,85,0,19,0,0,0,0
2022,25,25-64 yr,0,0,41,0,13,0,0,1,0
2022,26,25-64 yr,0,0,15,0,9,0,0,0,0
2022,27,25-64 yr,0,0,19,0,1,0,0,0,0
2022,28,25-64 yr,0,0,18,0,3,0,0,0,0
2022,29,25-64 yr,0,0,10,0,7,0,0,2,0
2022,30,25-64 yr,0,0,10,0,6,0,0,1,0
2022,31,25-64 yr,0,0,11,0,9,0,0,0,0
2022,32,25-64 yr,0,0,25,0,3,0,0,0,0
2022,33,25-64 yr,0,0,17,2,3,0,0,0,0
2022,34,25-64 yr,0,0,19,2,3,1,0,0,0
2022,35,25-64 yr,0,0,13,4,5,1,0,0,0
2022,36,25-64 yr,0,0,12,2,5,0,0,0,0
2022,37,25-64 yr,0,0,15,0,3,0,0,1,0
2022,38,25-64 yr,0,0,10,1,3,2,0,0,0
2022,39,25-64 yr,0,0,19,6,2,1,0,1,0
2021,40,65+ yr,0,0,0,0,1,0,0,0,0
2021,41,65+ yr,0,0,1,0,0,0,0,1,0
2021,42,65+ yr,0,0,1,0,0,0,0,0,0
2021,43,65+ yr,0,0,2,0,1,0,0,0,0
2021,44,65+ yr,0,0,0,0,2,0,0,0,0
2021,45,65+ yr,0,0,9,0,4,0,0,0,0
2021,46,65+ yr,0,0,17,0,10,0,0,0,0
2021,47,65+ yr,0,0,29,0,1,0,0,0,0
2021,48,65+ yr,0,0,64,0,9,0,0,0,0
2021,49,65+ yr,0,0,66,0,11,0,0,0,0
2021,50,65+ yr,0,0,91,0,19,0,0,0,0
2021,51,65+ yr,0,0,113,0,23,0,0,0,0
2021,52,65+ yr,0,0,180,0,57,0,0,2,0
2022,1,65+ yr,0,0,106,0,38,0,0,0,0
2022,2,65+ yr,0,0,47,0,22,0,0,1,0
2022,3,65+ yr,0,0,36,0,21,0,0,0,0
2022,4,65+ yr,0,0,31,0,13,0,0,0,0
2022,5,65+ yr,0,0,33,0,11,0,0,2,0
2022,6,65+ yr,0,0,28,0,10,0,0,1,0
2022,7,65+ yr,0,0,30,0,21,0,0,0,0
2022,8,65+ yr,0,0,49,0,18,0,0,1,0
2022,9,65+ yr,0,0,62,0,13,0,0,0,0
2022,10,65+ yr,0,0,74,0,11,0,0,0,0
2022,11,65+ yr,0,0,56,0,6,0,0,0,0
2022,12,65+ yr,0,0,82,0,17,0,0,0,0
2022,13,65+ yr,0,0,99,0,17,0,0,0,0
2022,14,65+ yr,0,0,72,0,9,0,0,0,0
2022,15,65+ yr,0,0,108,0,13,0,0,0,0
2022,16,65+ yr,0,0,102,0,9,0,0,0,0
2022,17,65+ yr,0,0,85,1,6,0,0,0,0
2022,18,65+ yr,0,0,88,0,11,0,0,0,0
2022,19,65+ yr,0,0,61,0,9,0,0,0,0
2022,20,65+ yr,0,0,52,2,11,0,0,1,0
2022,21,65+ yr,0,0,49,0,5,0,0,0,0
2022,22,65+ yr,0,0,47,0,7,0,0,0,0
2022,23,65+ yr,0,0,39,0,11,0,0,0,0
2022,24,65+ yr,0,0,21,0,4,0,0,0,0
2022,25,65+ yr,0,0,15,0,2,0,0,0,0
2022,26,65+ yr,0,0,4,0,3,0,0,0,0
2022,27,65+ yr,0,0,6,0,3,0,0,0,0
2022,28,65+ yr,0,0,11,0,1,0,0,0,0
2022,29,65+ yr,0,0,2,0,1,0,0,0,0
2022,30,65+ yr,0,0,2,0,3,0,0,1,0
2022,31,65+ yr,0,0,4,0,0,0,0,0,0
2022,32,65+ yr,0,0,6,0,0,0,0,0,0
2022,33,65+ yr,0,0,2,0,2,0,0,0,0
2022,34,65+ yr,0,0,0,0,0,0,0,0,0
2022,35,65+ yr,0,0,2,2,0,0,0,0,0
2022,36,65+ yr,0,0,1,0,3,0,0,0,0
2022,37,65+ yr,0,0,1,1,1,0,0,0,0
2022,38,65+ yr,0,0,5,2,1,0,0,0,0
2022,39,65+ yr,0,0,6,6,0,0,0,0,0
