"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jan-06-2023)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
California,EIP,2021-22,2021,40,Overall,Overall,Overall,0,0
Colorado,EIP,2021-22,2021,40,Overall,Overall,White,0.1,0.1
Colorado,EIP,2021-22,2021,40,Overall,Overall,Black,0,0
Colorado,EIP,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0
Colorado,EIP,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0
Colorado,EIP,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0
Colorado,EIP,2021-22,2021,40,Overall,Male,Overall,0.1,0.1
Colorado,EIP,2021-22,2021,40,Overall,Female,Overall,0,0
California,EIP,2021-22,2021,40,Overall,Overall,White,0,0
California,EIP,2021-22,2021,40,Overall,Overall,Black,0,0
California,EIP,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0
California,EIP,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0
California,EIP,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0
California,EIP,2021-22,2021,40,Overall,Male,Overall,0,0
California,EIP,2021-22,2021,40,Overall,Female,Overall,0,0
Minnesota,EIP,2021-22,2021,40,Overall,Overall,Overall,0,0
New Mexico,EIP,2021-22,2021,40,Overall,Overall,White,0,0
New Mexico,EIP,2021-22,2021,40,Overall,Overall,Black,0,0
New Mexico,EIP,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0.1,0.1
New Mexico,EIP,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0
New Mexico,EIP,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0
New Mexico,EIP,2021-22,2021,40,Overall,Male,Overall,0.2,0.2
New Mexico,EIP,2021-22,2021,40,Overall,Female,Overall,0,0
New Mexico,EIP,2021-22,2021,40,Overall,Overall,Overall,0.1,0.1
New York - Albany,EIP,2021-22,2021,40,Overall,Overall,White,0,0
New York - Albany,EIP,2021-22,2021,40,Overall,Overall,Black,0,0
Minnesota,EIP,2021-22,2021,40,Overall,Male,Overall,0,0
Minnesota,EIP,2021-22,2021,40,Overall,Female,Overall,0,0
New York - Albany,EIP,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0
New York - Albany,EIP,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0
New York - Albany,EIP,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0
New York - Albany,EIP,2021-22,2021,40,Overall,Male,Overall,0,0
New York - Albany,EIP,2021-22,2021,40,Overall,Female,Overall,0,0
New York - Albany,EIP,2021-22,2021,40,Overall,Overall,Overall,0,0
New York - Rochester,EIP,2021-22,2021,40,Overall,Overall,White,0,0
New York - Rochester,EIP,2021-22,2021,40,Overall,Overall,Black,0.8,0.8
New York - Rochester,EIP,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0
New York - Rochester,EIP,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0
New York - Rochester,EIP,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0
New York - Rochester,EIP,2021-22,2021,40,Overall,Male,Overall,0,0
New York - Rochester,EIP,2021-22,2021,40,Overall,Female,Overall,0.2,0.2
Colorado,EIP,2021-22,2021,40,Overall,Overall,Overall,0,0
Connecticut,EIP,2021-22,2021,40,Overall,Overall,White,0,0
Connecticut,EIP,2021-22,2021,40,Overall,Overall,Black,0,0
Connecticut,EIP,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0
Connecticut,EIP,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0
Connecticut,EIP,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0
Connecticut,EIP,2021-22,2021,40,Overall,Male,Overall,0,0
Connecticut,EIP,2021-22,2021,40,Overall,Female,Overall,0,0
Connecticut,EIP,2021-22,2021,40,Overall,Overall,Overall,0,0
Entire Network,EIP,2021-22,2021,40,Overall,Overall,White,0,0
Entire Network,EIP,2021-22,2021,40,Overall,Overall,Black,0,0
Entire Network,EIP,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0
Entire Network,EIP,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0
Entire Network,EIP,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0
Entire Network,EIP,2021-22,2021,40,Overall,Male,Overall,0,0
Entire Network,EIP,2021-22,2021,40,Overall,Female,Overall,0,0
Entire Network,EIP,2021-22,2021,40,Overall,Overall,Overall,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,White,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Black,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Male,Overall,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Female,Overall,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Overall,0,0
Georgia,EIP,2021-22,2021,40,Overall,Overall,White,0.1,0.1
Georgia,EIP,2021-22,2021,40,Overall,Overall,Black,0,0
Georgia,EIP,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0
Georgia,EIP,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0
Georgia,EIP,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0
Georgia,EIP,2021-22,2021,40,Overall,Male,Overall,0,0
Georgia,EIP,2021-22,2021,40,Overall,Female,Overall,0,0
Georgia,EIP,2021-22,2021,40,Overall,Overall,Overall,0,0
Iowa,IHSP,2021-22,2021,40,Overall,Overall,White,0,0
Iowa,IHSP,2021-22,2021,40,Overall,Overall,Black,0,0
Iowa,IHSP,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0
Iowa,IHSP,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0
Iowa,IHSP,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0
Iowa,IHSP,2021-22,2021,40,Overall,Male,Overall,0,0
Iowa,IHSP,2021-22,2021,40,Overall,Female,Overall,0,0
Iowa,IHSP,2021-22,2021,40,Overall,Overall,Overall,0,0
Entire Network,IHSP,2021-22,2021,40,Overall,Overall,White,0.1,0.1
Entire Network,IHSP,2021-22,2021,40,Overall,Overall,Black,0,0
Entire Network,IHSP,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0
Entire Network,IHSP,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0
